;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; I-ATRD ;ATR 42-300;; 1 Nov 1989 ; Nov 1996 ;I-ATRD Alitalia ;Lago Trasimeno ;;
; I-ATRF ;ATR 42-300;; 15 Dec 1989 ; Nov 1996 ;I-ATRF Alitalia Express ;Flumendosa ;;
; I-ATRG ;ATR 42-300;; 21 Apr 1990 ; Nov 1996 ;I-ATRG Alitalia ;Lago Maggiore ;;
; I-ATRJ ;ATR 42-300;; 24 Mar 1990 ; Nov 1996 ;I-ATRJ Alitalia ;Lago di Bolsena ;;
; I-ATRK ;ATR 42-300;; 18 Sep 1989 ; 14 Apr 1995 ;F-OHFH ATRiam Capital ;;;
; I-ATRL ;ATR 42-300;; 1 Jul 1990 ; Nov 1996 ;I-ATRL Alitalia ;Fiume Adige ;;
; I-ATRM ;ATR 42-300;; 17 Aug 1989 ; 8 Apr 1995 ;I-ATRM Air Sicilia ;;;
; I-ATRN ;ATR 42-300;; 5 Oct 1989 ; Nov 1996 ;I-ATRN Alitalia ;Arno ;;
; I-ATRP ;ATR 42-300;; 14 Mar 1990 ; Nov 1996 ;I-ATRP Alitalia ;Lago di Garda ;;
; I-NOWA ;ATR 42-300;; 26 Jul 1987 ; Nov 1996 ;I-NOWA Alitalia ;Fiume Po ;;
; I-NOWT ;ATR 42-300;; 27 Jul 1987 ; Nov 1996 ;I-NOWT Alitalia ;Fiume Tevere ;;
; EI-CLB ;ATR 72-212; Y66 ; 23 Feb 1995 ; Nov 1996 ;EI-CLB Alitalia ;Lago di Bracciano, lsd ;;
; EI-CLC ;ATR 72-212; Y66 ; 24 Feb 1995 ; Nov 1996 ;EI-CLC Alitalia ;Fiume Simeto, lsd ;;
; EI-CLD ;ATR 72-212; Y66 ; 30 Mar 1995 ; Nov 1996 ;EI-CLD Alitalia ;Fiume Piave, lsd ;;
; EI-CMJ ;ATR 72-212; Y66 ; 21 Dec 1995 ; Nov 1996 ;EI-CMJ Alitalia ;Fiume Volturno, lsd ;;
; I-REJA ;Fokker F70;; 6 Dec 1995 ; 31 Oct 1997 ;HA-LMD Malév Hungarian Airlines ;;;
; I-REJE ;Fokker F70;; 22 Dec 1995 ; 23 Jun 1997 ;PH-WXE Fokker Services ;;;
; I-REJI ;Fokker F70;; 3 Jan 1996 ; 15 Dec 1997 ;PH-WXC KLM Cityhopper ;;;
; I-REJO ;Fokker F70;; 16 Feb 1996 ; 6 May 1997 ;PH-WXA Fokker Services ;;;
; I-REJU ;Fokker F70;; 13 Mar 1996 ; 7 May 1997 ;PH-WXB Fokker Services ;;;
